mode,n_measurements,duration_label,mu_baseline,sigma_baseline,rho,h_init,mde
pooled,2,1.5yr,0.5,0.2,0.5,0.05,0.14709677419354839
pooled,2,1.5yr,0.5,0.2,0.7,-0.05,0.17521739130434782
pooled,2,1.5yr,0.5,0.2,0.7,0.0,0.17330097087378643
pooled,2,1.5yr,0.5,0.2,0.7,0.05,0.17765486725663718
pooled,2,1.5yr,0.5,0.2,0.9,-0.05,0.21291390728476822
pooled,2,1.5yr,0.5,0.2,0.9,0.0,0.2111764705882353
pooled,2,1.5yr,0.5,0.2,0.9,0.05,0.3204301075268817
pooled,2,1.5yr,0.7,0.1,0.5,-0.05,0.14696808510638298
pooled,2,1.5yr,0.7,0.1,0.5,0.0,0.13885714285714287
pooled,2,1.5yr,0.7,0.1,0.5,0.05,0.13612244897959183
pooled,2,1.5yr,0.7,0.1,0.7,-0.05,0.1776086956521739
pooled,2,1.5yr,0.7,0.1,0.7,0.0,0.17047872340425532
pooled,2,1.5yr,0.7,0.1,0.7,0.05,0.17408376963350786
pooled,2,1.5yr,0.7,0.1,0.9,-0.05,0.21545454545454548
pooled,2,1.5yr,0.7,0.1,0.9,0.0,0.20648854961832064
pooled,2,1.5yr,0.7,0.1,0.9,0.05,
pooled,2,1.5yr,0.7,0.2,0.5,-0.05,0.1489285714285714
pooled,2,1.5yr,0.7,0.2,0.5,0.0,0.14274725274725275
pooled,2,1.5yr,0.7,0.2,0.5,0.05,0.1444186046511628
pooled,2,1.5yr,0.7,0.2,0.7,-0.05,0.17601809954751133
pooled,2,1.5yr,0.7,0.2,0.7,0.0,0.18255208333333334
pooled,2,1.5yr,0.7,0.2,0.7,0.05,0.1892857142857143
pooled,2,1.5yr,0.7,0.2,0.9,-0.05,0.20369127516778526
pooled,2,1.5yr,0.7,0.2,0.9,0.0,0.2207627118644068
pooled,2,1.5yr,0.7,0.2,0.9,0.05,
pooled,2,1yr,0.3,0.1,0.5,-0.05,0.138
pooled,2,1yr,0.3,0.1,0.5,0.0,0.14640718562874253
pooled,2,1yr,0.3,0.1,0.5,0.05,0.15188679245283018
pooled,2,1yr,0.3,0.1,0.7,-0.05,0.162
