mode,n_measurements,study_end_week,duration_label,mu_baseline,sigma_baseline,target_att,rho,h_init,power,mean_att,mean_se,sd_att
pooled,3,26,6mo,0.7,0.2,0.12,0.9,0.05,0.204,0.06721527390583057,0.055595501216069834,0.05538833174293219
pooled,3,26,6mo,0.7,0.2,0.15,0.9,-0.05,0.598,0.16408568955984076,0.07227972942680808,0.07276707256766603
pooled,3,26,6mo,0.7,0.2,0.15,0.5,-0.05,0.742,0.149736087122931,0.05689857221994376,0.05611302818403455
pooled,3,26,6mo,0.7,0.2,0.15,0.5,0.0,0.751,0.14728950830906992,0.05445026174036104,0.05523895436085581
pooled,3,26,6mo,0.7,0.2,0.15,0.7,0.0,0.663,0.15099473561816953,0.06276166554142551,0.06495425991222294
pooled,3,26,6mo,0.7,0.2,0.15,0.9,0.0,0.508,0.13449708403582603,0.06559012107098597,0.06566622097523103
pooled,3,26,6mo,0.7,0.2,0.15,0.9,0.05,0.269,0.07797292847897037,0.05637153147174584,0.05773006729871656
pooled,3,26,6mo,0.7,0.2,0.2,0.5,-0.05,0.924,0.19615879999850686,0.0569543097302593,0.05648865140017727
pooled,3,26,6mo,0.7,0.2,0.15,0.7,-0.05,0.657,0.15890159086610847,0.06647140358358798,0.06624747976585994
pooled,3,26,6mo,0.7,0.2,0.2,0.5,0.0,0.916,0.18525632616610466,0.05472724609486686,0.05682515410459855
pooled,3,26,6mo,0.7,0.2,0.15,0.7,0.05,0.654,0.1373970115480726,0.05775326085364624,0.0563494486857811
pooled,3,26,6mo,0.7,0.2,0.12,0.9,0.0,0.38,0.11186069858029972,0.06538009408308593,0.06672833158930888
pooled,3,26,6mo,0.7,0.2,0.2,0.5,0.05,0.926,0.17356807264802115,0.05146254849701256,0.05052290683985932
pooled,3,26,6mo,0.7,0.2,0.2,0.7,0.0,0.861,0.18845754206348325,0.06244756651982914,0.06018690305956953
pooled,3,26,6mo,0.7,0.2,0.2,0.7,-0.05,0.845,0.20445766406101074,0.06599050754042418,0.06993066393167971
pooled,3,26,6mo,0.7,0.2,0.2,0.9,-0.05,0.812,0.21079134145223888,0.07171930737245853,0.07529711071370741
pooled,3,26,6mo,0.7,0.2,0.2,0.9,0.0,0.675,0.1610280664513342,0.06577855302548316,0.06447181368889113
pooled,3,26,6mo,0.7,0.2,0.2,0.7,0.05,0.777,0.16021579304419017,0.057639244388210886,0.06024132539475959
pooled,3,26,6mo,0.7,0.2,0.25,0.5,-0.05,0.987,0.23205901032584925,0.05674116309057061,0.05520124609832817
pooled,3,26,6mo,0.7,0.2,0.2,0.9,0.05,0.345,0.08981794654108997,0.05651556034740395,0.05829107843159562
pooled,3,26,6mo,0.7,0.2,0.25,0.5,0.0,0.977,0.2203863077215105,0.05487697042302682,0.05561959315492239
pooled,3,26,6mo,0.7,0.2,0.25,0.5,0.05,0.964,0.19645122897676784,0.05153330214026432,0.05235263208738448
pooled,3,26,6mo,0.7,0.2,0.25,0.7,-0.05,0.95,0.23572856154379299,0.06526197165482947,0.06667504305136092
pooled,3,26,6mo,0.7,0.2,0.25,0.7,0.0,0.922,0.2125054046869708,0.06264384742682874,0.06230758599100485
pooled,3,26,6mo,0.7,0.2,0.25,0.7,0.05,0.859,0.17944872592229627,0.05803793416198957,0.05825705261947074
pooled,3,26,6mo,0.7,0.2,0.25,0.9,-0.05,0.92,0.24580703704180726,0.07171851331625259,0.07294679962575264
pooled,3,26,6mo,0.7,0.2,0.25,0.9,0.0,0.763,0.18020472476557983,0.06587650035203546,0.06579629765438208
pooled,3,26,6mo,0.7,0.2,0.25,0.9,0.05,0.408,0.09961030766401394,0.057197002319536006,0.05844747224260571
pooled,3,26,6mo,0.7,0.2,0.3,0.5,-0.05,0.993,0.2615148949278397,0.056940126761671386,0.057064278919653995
pooled,3,26,6mo,0.7,0.2,0.3,0.5,0.05,0.988,0.22251085206662566,0.0523797726548671,0.05308007763610346
pooled,3,26,6mo,0.7,0.2,0.3,0.5,0.0,0.991,0.24433255028522619,0.05528538434044533,0.05444317856965974
pooled,3,26,6mo,0.7,0.2,0.3,0.7,0.0,0.953,0.23521464624515748,0.06268387151474954,0.06587451047366917
pooled,3,26,6mo,0.7,0.2,0.3,0.7,-0.05,0.974,0.2667762834535595,0.06629688928821836,0.06647649643720988
pooled,3,26,6mo,0.7,0.2,0.4,0.5,0.0,0.999,0.28319375547372805,0.05635298896226388,0.05673744217467309
pooled,3,26,6mo,0.7,0.2,0.3,0.9,0.05,0.451,0.10832241784517459,0.05798712356108564,0.05904874499288886
pooled,3,26,6mo,0.7,0.2,0.3,0.7,0.05,0.93,0.19893929850565814,0.0585720174354516,0.05793337573372304
pooled,3,26,6mo,0.7,0.2,0.3,0.9,0.0,0.858,0.19913078743005935,0.06616924525865008,0.06388124458123674
pooled,3,26,6mo,0.7,0.2,0.3,0.9,-0.05,0.969,0.27643325698921306,0.07172123215983413,0.06956118630400492
pooled,3,26,6mo,0.7,0.2,0.4,0.5,-0.05,1.0,0.3050334458848171,0.0579055259973942,0.055955484516360426
pooled,3,26,6mo,0.7,0.2,0.4,0.7,0.0,0.992,0.26640391857704754,0.06365741847714297,0.06380695279259462
pooled,3,26,6mo,0.7,0.2,0.4,0.7,0.05,0.962,0.2225117076076009,0.06003770260491071,0.06086103424641158
pooled,3,26,6mo,0.7,0.2,0.4,0.5,0.05,0.998,0.2548287452276268,0.05398016020908922,0.05578467971922573
pooled,3,26,6mo,0.7,0.2,0.4,0.7,-0.05,0.998,0.3139329634737676,0.0659282381421541,0.06558152649533201
pooled,3,26,6mo,0.7,0.2,0.4,0.9,-0.05,0.993,0.3231328166469951,0.07158578252189411,0.07125127153457367
pooled,3,26,6mo,0.7,0.2,0.4,0.9,0.0,0.898,0.2232069430848635,0.06745357103766396,0.07042908164549212
pooled,3,26,6mo,0.7,0.2,0.4,0.9,0.05,0.525,0.12174777365305897,0.05850552137065216,0.06332464564444669
pooled,3,52,1yr,0.3,0.1,0.02,0.5,-0.05,0.069,0.01714472311786361,0.03888015224551263,0.039935943942725476
pooled,3,52,1yr,0.3,0.1,0.02,0.7,-0.05,0.074,0.01771464263668498,0.04586240273241036,0.04676377301899618
